Name,Description,Category,Address,Latitude,Longitude,Icon Color,Google Maps URL,Operating Hours,Admission Fee,Ratings,Notes,Type
World’s Largest Ball of Twine,A massive ball of twine created by locals over decades.,Roadside Attraction,"200-298 1st St, Cawker City, KS",39.62377,-98.0272,N/A,"https://www.google.com/maps/place/World's+Largest+Ball+of+Twine/@39.8439233,-102.4939516,7.03z/data=!4m9!1m2!11m1!3e1!3m5!1s0x87a288823e563971:0xf108f3f6fdf7452f!8m2!3d39.5092169!4d-98.433689!16s%2Fg%2F1q5bpq4n8?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",9:00 AM - 5:00 PM,Free,4.5/5,Great for quirky photo ops.,Attraction
Kenai Fjords National Park,Picturesque park on the Kenai Peninsula featuring a huge ice field of glaciers & diverse wildlife.,Roadside Attraction,"Seward, AK 99664, United States",60.12900132,-150.1701093,N/A,"https://www.google.com/maps/place/Kenai+Fjords+National+Park/@61.0514501,-159.5524334,1219253m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c79c630608aa09:0x12143ced272edc64!8m2!3d59.8486745!4d-150.1878803!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgENbmF0aW9uYWxfcGFya-ABAA!16zL20vMDM4d3dm?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.9/5,National park,Attraction
Mukluk Land,It's a great place for kids and people of all ages.,Roadside Attraction,"AK-2, Tok, AK 99780, United States",63.62681323,-143.0299168,N/A,"https://www.google.com/maps/place/Mukluk+Land/@60.4627106,-159.5533542,1241838m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x514a8879c69894ab:0xa26eece8b3312eb1!8m2!3d63.342255!4d-143.0805546!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEKdGhlbWVfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOMU9GOVlXVGhCUlJBQuABAPoBBAgkEDk!16s%2Fg%2F11dzw7vhx3?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",2:00 PM - 6:00 PM,,4.8/5,Theme park,Attraction
Denali National Park and Preserve,"This 6 million-acre park with wildlife & tours is home to Denali, the nation’s highest peak.",Roadside Attraction,"Alaska, United States",63.44075544,-150.1051121,N/A,"https://www.google.com/maps/place/Denali+National+Park+and+Preserve/@63.342255,-152.836414,1130171m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56cdf3ff88d01605:0xc6b53b15131936a5!8m2!3d63.2827613!4d-150.789398!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgENbmF0aW9uYWxfcGFya-ABAA!16zL20vMDFuYjZw?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.8/5,National park,Attraction
Dolly's House,This early-19th-century brothel displays period furnishings & offers self-guided tours.,Roadside Attraction,"Side of building, 24 Creek St, Ketchikan, AK 99901, United States",55.64645874,-131.6630521,N/A,"https://www.google.com/maps/place/Dolly's+House/@55.3415005,-141.3969387,1432510m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x540c250484f20b87:0x90c9b59fcc87bff5!8m2!3d55.3415005!4d-131.6410793!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEGbXVzZXVt4AEA!16s%2Fg%2F1tj2bpkt?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",7:30 AM–4:00PM,,4.6/5,Museum,Attraction
Moose Antler Arch,Slightly underwhelming as far as size and location.,Roadside Attraction,"Fairbanks, AK 99701, United States",65.05574151,-147.7798782,N/A,"https://www.google.com/maps/place/Moose+Antler+Arch/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x513245465aa141bd:0xc76f4766e85945c4!8m2!3d64.8464242!4d-147.7139601!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50WjJJdFVqRjNSUkFC4AEA-gEFCOYBEDI!16s%2Fg%2F11bw208qnj?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.5/5,,Attraction
Snow Plow Train,This is the retired snow plow used by the White Pass & Yukon Railroad: Rotary Snow Plow Number 1!,Roadside Attraction,"18624-18656 Seward Hwy, Anchorage, AK 99516, United States",61.28323074,-149.7793899,N/A,"https://www.google.com/maps/place/Snow+Plow+Train/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c89b3669b033f3:0x98c5e483ce5f80c2!8m2!3d61.0514501!4d-149.796574!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54ZUhZemRrMVJFQUXgAQD6AQQIABAx!16s%2Fg%2F11jf9h8cls?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.8/5,Located in: Chugach State Park Headquarters,Attraction
Star the Reindeer,Star the Reindeer lives in downtown Anchorage at 10th ave and I St. Tradition started in 1960.,Roadside Attraction,"840 W 10th Ave, Anchorage, AK 99501, United States",61.46219459,-149.8233352,N/A,"https://www.google.com/maps/place/Star+the+Reindeer/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c8bdeb17de3ae1:0xbddb46fa2372cc54!8m2!3d61.212637!4d-149.899482!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5hZFhaeFl6Um5SUkFC4AEA-gEECAAQRA!16s%2Fg%2F11vb4w4m29?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,3.9/5,,Attraction
Alyeska Pipeline / Viewing Point,"Alaska's oil pipeline is the focus of this museum, which features an above-ground pipe display.",Roadside Attraction,"1671 Steese Hwy, Fairbanks, AK 99712, United States",65.12977181,-147.6480422,N/A,"https://www.google.com/maps/place/Alyeska+Pipeline+%2F+Viewing+Point/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x5132467b3bfef615:0xcb990d63a5745267!8m2!3d64.9295414!4d-147.6297414!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QWjFBdE5XSm5FQUXgAQD6AQQIABA2!16s%2Fg%2F11cm3j0m3m?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.6/5,,Attraction
Aurora Ice Museum,"Open year-round, this whimsical, 25-degree museum includes ice sculptures, a bar & parka rentals.",Roadside Attraction,"17600 Chena Hot Springs Rd, Fairbanks, AK 99712, United States",65.26802436,-145.9341751,N/A,"https://www.google.com/maps/place/Aurora+Ice+Museum/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x5133ca2b0068b577:0xf6d6d6a2e82c85b0!8m2!3d65.0539184!4d-146.0596934!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9u4AEA!16s%2Fg%2F11fy2k_pzg?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",11 AM–7 PM,,4.2/5,,Attraction
Beluga Point,"Scenic turnout & popular whale-watching spot, with paved parking, telescopes & interpretive signs.",Roadside Attraction,"Mile 110 Seward Hwy, Anchorage, AK 99540, United States",61.21982225,-149.7134719,N/A,"https://www.google.com/maps/place/Beluga+Point/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c8847ecea3bec1:0x6c498aac81852499!8m2!3d61.0067501!4d-149.6943857!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TZFhCTFZpMW5SUkFC4AEA-gEECAAQSw!16s%2Fm%2F06_jr5w?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.7/5,,Attraction
Bird Point,"Picturesque park featuring a paved, multi-use trail & observation point with mountain & ocean views.",Roadside Attraction,"Seward Hwy, Anchorage, AK 99540, United States",61.18807,-149.3399368,N/A,"https://www.google.com/maps/place/Bird+Point/@64.8464242,-157.4698195,1070688m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c87dd3b5d52ebd:0x83a0871445151a8a!8m2!3d60.9287953!4d-149.3466587!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgELc2NlbmljX3Nwb3SaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhiMDFoWVdOUkVBReABAPoBBAgAECg!16s%2Fg%2F11bw3xcbk2?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.7/5,,Attraction
Seafarer's Memorial,North Pacific Fisheries Association (NPFA) was incorporated in 1955. Its primary function for two decades was as a marketing entity.,Roadside Attraction,"4535 Homer Spit Rd, Homer, AK 99603, United States",60.17959466,-151.7115322,N/A,"https://www.google.com/maps/place/Seafarer's+Memorial/@67.6049509,-165.1457355,1975668m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56c12c0542203e59:0xcc1f59b33a7e2d09!8m2!3d59.6006454!4d-151.4189454!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgENbWVtb3JpYWxfcGFya-ABAA!16s%2Fg%2F1tp_63fy?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.7/5,,Attraction
Fish Creek Wildlife Observation Site,"The Fish Creek Wildlife Viewing Site is a day-use recreation area in the Salmon River valley near Hyder, Alaska. Both brown (grizzly) and black bears can be observed and photographed at the site as they fish for chum and pink salmon in the clear shallow waters of Fish Creek and Marx Creek.",Roadside Attraction,"Hyder, AK 99923, United States",56.41433219,-130.1937801,N/A,"https://www.google.com/maps/place/Fish+Creek+Wildlife+Observation+Site/@55.9619369,-150.1449517,2819980m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x540bd194b487da4d:0x718cf2c91b55a8db!8m2!3d55.9619369!4d-130.0614961!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5sZWt4RWFETm5SUkFC4AEA-gEECBQQSQ!16s%2Fg%2F1ts1rxx6?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",6 AM–10 PM,,4.6/5,,Attraction
Giant Santa Statue,"The world's largest Santa Claus statue greets visitors to Santa Claus House in the Christmas themed town of North Pole (14 miles east of Fairbanks), Alaska, USA. Standing 42 feet high and weighing 900 pounds, this Santa was built for the 1962 World's Fair in Seattle, and then travelled promotionally until emplaced at North Pole in 1983.",Roadside Attraction,"125 St Nicholas Dr, North Pole, AK 99705, United States",65.1833568,-147.3763971,N/A,"https://www.google.com/maps/place/Giant+Santa+Statue/@55.9619369,-150.1449517,2819980m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x51324de48d47e473:0x54b848ccf3ff5922!8m2!3d64.7538956!4d-147.3419647!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVExTW05eVdESjNSUkFC4AEA-gEFCKACECc!16s%2Fg%2F11kc16d5mj?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.6/5,,Attraction
